시설명,시설주소,X,Y
송파구방이복지관,서울특별시 송파구 백제고분로37길 4,209197.55557492404,544989.8028462583
서울시각장애인복지관,서울특별시 송파구 삼학사로19길 27,208317.74240979837,545187.4109392836
서울시립발달장애인복지관,서울특별시 동작구 여의대방로20길 33,192849.1314021715,543694.5259958252
청음복지관,서울특별시 강남구 봉은사로50길 6,203745.06404180807,545548.855806653
마포장애인종합복지관,서울특별시 마포구 성산로4길 35,191913.52006077048,551587.5962653728
다운복지관,서울특별시 노원구 화랑로478,207088.52492535577,557709.9623762729
원광장애인종합복지관,서울특별시 중랑구 신내로 56,208478.48182106798,556073.310077563
성프란치스꼬장애인종합복지관,서울특별시 구로구 남부순환로105라길 25-10,190316.88151611897,542464.1983665512
성모자애복지관,서울특별시 강남구 헌릉로757길 35,210568.9483171037,541186.0524238386
대린원,서울특별시 노원구 동일로248길 30,205015.56204986497,564547.0587318793
동천의집,서울특별시 노원구 노원로 18길 41,206471.52777337804,560533.6658801083
삼성농아원,서울특별시 동작구 양녕로30길 19-4,195218.82413478597,544407.7949282553
다니엘복지원,서울특별시 서초구 헌릉로468길 21-16,208142.37070066461,540115.6482698756
늘편한집,서울특별시 노원구 중계로 163,207117.6880689067,561137.4152863285
임마누엘집,서울특별시 송파구 양산로10길 26,212971.7148107412,543567.1777736834
임마누엘보호작업시설,서울특별시 송파구 양산로10길 26,212971.7148107412,543567.1777736834
아름해든집,서울특별시 강동구 고덕로 295-45,214026.12202356063,550916.8098483314
신아재활원,서울특별시 송파구 양산로8길 17,212876.43737443085,543570.7701313504
우성원,서울특별시 강동구 고덕로 295-45,214026.12202356063,550916.8098483314
영락애니아의집,서울특별시 용산구 후암로4길 70,198345.79987620626,549886.8819411768
사랑의집,서울특별시 은평구 역말로10길 30-1,193273.20290316927,556629.8571936077
암사재활원,서울특별시 강동구 올림픽로 864,211594.44430682505,550964.235874441
은평재활원,서울특별시 은평구 갈현로11길 30,191771.78005402477,556237.133218867
오틸리아 공동생활가정,서울특별시 강남구 학동로26길 15,202637.8512387506,545882.4583244799
새빛바울의집,서울특별시 서초구 방배중앙로 99,198964.75507461204,543191.8007492564
바르티매오공동생활가정,서울특별시 은평구 불광로9가길 4,193949.13090853574,557440.5788426287
동천하우스5,서울특별시 중랑구 동일로104길 3,207104.48715785478,554504.7213623512
교남소망의집,서울특별시 강서구 까치산로22길 38,186965.35398690056,549855.9878650266
베데스다의 집,서울특별시 노원구 중계로8길 39,207455.0312791864,560819.0267741141
베데스다장애인주간보호센터,서울특별시 노원구 공릉로58마길 27,206853.84844557883,559648.3971514218
아름다운,서울특별시 중랑구 망우로55길 32,208291.65397685827,555487.7868198894
신망애의집,서울특별시 서초구 남부순환로342길 56-58,202154.2302436759,542177.452007397
강북구립장애인보호작업장,서울특별시 강북구 오현로 199-9,203486.495136431,558866.8040982429
용산구립장애인보호작업장,서울특별시 용산구 한강대로 331,197480.81393718155,549820.8837825363
다니엘의집1호,서울특별시 서초구 염곡안길 19-0,204559.39075056772,540324.9796278245
다니엘의집2호,서울특별시 서초구 염곡안길 19-0302호,204559.39075056772,540324.9796278245
다니엘주간보호센터,서울특별시 서초구 헌릉로468길 21-16,208142.37070066461,540115.6482698756
다니엘단기보호센터,서울특별시 서초구 헌릉로468길 21-16,208142.37070066461,540115.6482698756
사랑나눔주간보호시설,서울특별시 송파구 마천로51길 28,213492.53299489166,544171.5435398438
다니엘직업재활원,서울특별시 서초구 헌릉로468길 21-16,208142.37070066461,540115.6482698756
동천,서울특별시 노원구 노원로18길 41,206471.52777337804,560533.6658801083
노원교육복지재단(다모인),서울특별시 노원구 노원로 311,206147.63106415627,560428.1118876362
영등포구 장애인사랑나눔의 집,서울특별시 영등포구 신길로 55,191864.40638767995,544235.8262452515
원광보호작업장,서울특별시 중랑구 신내로 56,208478.48182106798,556073.310077563
참좋은센터,서울특별시 중랑구 봉화산로56길 99-15,208676.38584951844,556089.8524174852
신아보호작업장,서울특별시 송파구 양산로8길 17,212876.43737443085,543570.7701313504
늘푸른나무복지관,서울특별시 강서구 허준로5길 37 -0,186849.55029055418,552123.89872389
조은세상,서울특별시 중랑구 동일로140길 31-21,207130.81295564317,556119.73352559
서울시립북부장애인종합복지관,서울특별시 노원구 덕릉로70가길 92,205009.5387691672,560303.4915635223
서울시립남부장애인종합복지관,서울특별시 동작구 신대방2동395,193150.81820892176,543923.2829313437
금천장애인종합복지관,서울특별시 금천구 시흥대로101길 17,190828.41536570492,540510.6306337563
볕바라기주간보호센터,서울특별시 금천구 금하로18길 8-1,191597.51825591587,539208.870360285
데일리스보호작업시설,서울특별시 동대문구 천호대로83길 14,205721.693457808,551477.8492488725
북서울장애인보호작업시설,서울특별시 강북구 한천로115길 20,203196.77653773697,559275.7835445942
소망의집,서울특별시 강북구 인수봉로64길 30,201285.10840472888,560002.5368468793
삼성떡프린스,서울특별시 동작구 양녕로30길 19-4,195218.82413478597,544407.7949282553
더홈,서울특별시 노원구 중계로 163-0,207117.6880689067,561137.4152863285
서울특별시립평화로운집,서울특별시 은평구 갈현로 15길 27-1,191655.9657704287,556431.1803899157
주몽재활원,서울특별시 강동구 상암로 369-0,214460.54855805004,549643.8512172834
소망제이앤피,서울특별시 강남구 언주로167길 35,202675.44896428753,547431.8879778156
다움장애아동지원센터,서울특별시 은평구 갈현로11길 30,191771.78005402477,556237.133218867
보담터,서울특별시 노원구 중계로 163-0,207117.6880689067,561137.4152863285
시립서대문농아인복지관,서울특별시 서대문구 수색로4가길 23,192388.7637203788,552357.1181669687
승가원행복마을,서울특별시 성북구 개운사길 76-1,202622.26817539698,554492.4708556177
라온클린패밀리,서울특별시 강동구 고덕로 295-45,214026.12202356063,550916.8098483314
용산구립장애인주간보호센터,서울특별시 용산구 한강대로 331,197480.81393718155,549820.8837825363
두레네집공동생활가정,서울특별시 관악구 법원단지길 97-3,193121.69216547735,541710.9727206144
중랑구립직업재활센터,서울특별시 중랑구 숙선옹주로9길 55,207389.1814411387,557529.811769767
송파인성장애인복지관,서울특별시 송파구 마천로61길 26,213728.90272542206,543851.1210969863
사랑의복지관,서울특별시 서초구 강남대로 65길 19,202121.4186263186,544489.5659935212
성북장애인복지관,서울특별시 성북구 화랑로 130,204029.8497856712,556104.6163144886
한빛맹아원,서울특별시 강북구 삼양로73가길 47,201385.57797528277,558720.5569916725
하누리주간보호센터,서울특별시 금천구 시흥대로2길57,191718.5614290371,537319.732085277
헬렌켈러의집단기거주시설,서울특별시 강북구 삼양로91가길 8,201397.30184130045,559656.1341434178
헬렌켈러의집주간보호,서울특별시 강북구 삼양로80길 7,201612.72462228918,559040.3920968818
다니엘사랑이용센터,서울특별시 서초구 헌릉로468길 21-16,208142.37070066461,540115.6482698756
다니엘의집3호,서울특별시 서초구 신반포로43길 15,201555.31129386963,545707.458246118
다솜장애인공동생활가정,서울특별시 서대문구 가재울로6길 16,193167.54327003937,552850.9055760095
아이티장애인공동생활가정,서울특별시 서대문구 연희로41길 61-061,194253.4992908453,554631.6285034001
다솜장애인주간보호센터,서울특별시 서대문구 증가로4길 53,193628.1600362883,553152.9941248774
신목장애인주간보호시설,서울특별시 양천구 신목로 5,189086.731862442,546391.1287854445
디딤자리,서울특별시 강북구 덕릉로12길 13,201441.15042629646,559307.2347994281
너울자리,서울특별시 강동구 동남로85길 15,213773.11344597786,551314.1028483503
보금자리,서울특별시 강동구 동남로85길 15,213773.11344597786,551314.1028483503
하늘자리공동생활가정,서울특별시 강동구 동남로85길 15,213773.11344597786,551314.1028483503
주바라기해피홈,서울특별시 도봉구 도봉로169가길 45,203811.8823153559,564698.3288835813
동천하우스1,서울특별시 노원구 동일로237바길 8,204473.75008263538,563788.772050637
동천하우스2,서울특별시 노원구 한글비석로24바길 98,206166.76451729733,563010.3982545328
해맑음보호작업시설,서울특별시 노원구 동일로 1097,206295.36179053294,558687.8048402457
강북구수어통역센터,서울특별시 강북구 도봉로 388,202615.1351471003,560190.4337627249
그루터기공동생활가정,서울특별시 노원구 동일로191가길 26-0,206309.14149238027,558525.4820546833
관악구수어통역센터,서울특별시 관악구 쑥고개로 128,195637.60922641773,542140.5027025338
도봉구수어통역센터,서울특별시 도봉구 마들로13길 153,204076.2754937084,561941.4234393394
동천하우스4,서울특별시 도봉구 도봉로137길 46,203533.03692758764,562372.0925997966
동천하우스3,서울특별시 도봉구 시루봉로23길 64,203655.75077142747,563738.2689862805
서울특별시수어통역센터지원본부,서울특별시 서대문구 경기대로 15,196616.89394446605,551255.944742205
인강원,서울특별시 도봉구 평화로15번길 9-25,203741.3979285346,566110.7410844362
