시설명,시설주소,X,Y,현인원,사고건수
송파구방이복지관,서울특별시 송파구 백제고분로37길 4,127.1040208,37.5043302,160.0,23.0
서울시각장애인복지관,서울특별시 송파구 삼학사로19길 27,127.0940727,37.506119,0.0,34.0
서울시립발달장애인복지관,서울특별시 동작구 여의대방로20길 33,126.919139,37.4926778,752.0,13.0
청음복지관,서울특별시 강남구 봉은사로50길 6,127.0423581,37.5094055,345.0,47.0
마포장애인종합복지관,서울특별시 마포구 성산로4길 35,126.9084724,37.5637867,3743.0,24.0
다운복지관,서울특별시 노원구 화랑로478,127.0802914,37.6189569,414.0,47.0
원광장애인종합복지관,서울특별시 중랑구 신내로 56,127.0960164,37.6041991,645.0,25.0
성프란치스꼬장애인종합복지관,서울특별시 구로구 남부순환로105라길 25-10,126.8905209,37.4815694,700.0,60.0
성모자애복지관,서울특별시 강남구 헌릉로757길 35,127.1194761,37.4700435,300.0,0.0
대린원,서울특별시 노원구 동일로248길 30,127.056858,37.6805716,31.0,13.0
동천의집,서울특별시 노원구 노원로 18길 41,127.0733277,37.6444026,64.0,11.0
삼성농아원,서울특별시 동작구 양녕로30길 19-4,126.9459305,37.4991197,28.0,13.0
다니엘복지원,서울특별시 서초구 헌릉로468길 21-16,127.0920332,37.4604236,70.0,1.0
늘편한집,서울특별시 노원구 중계로 163,127.0806551,37.6498375,39.0,13.0
임마누엘집,서울특별시 송파구 양산로10길 26,127.1466799,37.491467,51.0,24.0
임마누엘보호작업시설,서울특별시 송파구 양산로10길 26,127.1466799,37.491467,40.0,24.0
아름해든집,서울특별시 강동구 고덕로 295-45,127.158743,37.5576717,35.0,4.0
신아재활원,서울특별시 송파구 양산로8길 17,127.1456026,37.4915007,125.0,39.0
우성원,서울특별시 강동구 고덕로 295-45,127.158743,37.5576717,74.0,4.0
영락애니아의집,서울특별시 용산구 후암로4길 70,126.9812806,37.5484973,30.0,6.0
사랑의집,서울특별시 은평구 역말로10길 30-1,126.9238158,37.609228,16.0,28.0
암사재활원,서울특별시 강동구 올림픽로 864,127.1312229,37.5581328,48.0,5.0
은평재활원,서울특별시 은평구 갈현로11길 30,126.9068159,37.6056774,50.0,5.0
오틸리아 공동생활가정,서울특별시 강남구 학동로26길 15,127.0298363,37.5124151,4.0,62.0
새빛바울의집,서울특별시 서초구 방배중앙로 99,126.9882943,37.4881753,24.0,12.0
바르티매오공동생활가정,서울특별시 은평구 불광로9가길 4,126.9314643,37.6165372,4.0,7.0
동천하우스5,서울특별시 중랑구 동일로104길 3,127.0804411,37.5900779,4.0,44.0
교남소망의집,서울특별시 강서구 까치산로22길 38,126.852497,37.5481283,57.0,8.0
베데스다의 집,서울특별시 노원구 중계로8길 39,127.0844745,37.6469662,4.0,2.0
베데스다장애인주간보호센터,서울특별시 노원구 공릉로58마길 27,127.0776514,37.6364237,17.0,7.0
아름다운,서울특별시 중랑구 망우로55길 32,127.093894,37.5989253,31.0,71.0
신망애의집,서울특별시 서초구 남부순환로342길 56-58,127.0243553,37.479034,10.0,4.0
강북구립장애인보호작업장,서울특별시 강북구 오현로 199-9,127.0394969,37.6294006,30.0,25.0
용산구립장애인보호작업장,서울특별시 용산구 한강대로 331,126.9714924,37.5479007,31.0,19.0
다니엘의집1호,서울특별시 서초구 염곡안길 19-0,127.0515361,37.4623343,4.0,0.0
다니엘의집2호,서울특별시 서초구 염곡안길 19-0302호,127.0515361,37.4623343,4.0,0.0
다니엘주간보호센터,서울특별시 서초구 헌릉로468길 21-16,127.0920332,37.4604236,12.0,1.0
다니엘단기보호센터,서울특별시 서초구 헌릉로468길 21-16,127.0920332,37.4604236,11.0,1.0
사랑나눔주간보호시설,서울특별시 송파구 마천로51길 28,127.1525802,37.4969049,10.0,19.0
다니엘직업재활원,서울특별시 서초구 헌릉로468길 21-16,127.0920332,37.4604236,45.0,1.0
동천,서울특별시 노원구 노원로18길 41,127.0733277,37.6444026,45.0,11.0
노원교육복지재단(다모인),서울특별시 노원구 노원로 311,127.0696568,37.6434538,69.0,16.0
영등포구 장애인사랑나눔의 집,서울특별시 영등포구 신길로 55,126.9079979,37.4975468,300.0,34.0
원광보호작업장,서울특별시 중랑구 신내로 56,127.0960164,37.6041991,46.0,25.0
참좋은센터,서울특별시 중랑구 봉화산로56길 99-15,127.0982578,37.6043463,30.0,17.0
신아보호작업장,서울특별시 송파구 양산로8길 17,127.1456026,37.4915007,65.0,39.0
늘푸른나무복지관,서울특별시 강서구 허준로5길 37 -0,126.8511459,37.5685604,500.0,15.0
조은세상,서울특별시 중랑구 동일로140길 31-21,127.0807549,37.6046288,30.0,28.0
서울시립북부장애인종합복지관,서울특별시 노원구 덕릉로70가길 92,127.0567606,37.6423379,969.0,18.0
서울시립남부장애인종합복지관,서울특별시 동작구 신대방2동395,126.9225483,37.4947412,808.0,20.0
금천장애인종합복지관,서울특별시 금천구 시흥대로101길 17,126.8963287,37.4639728,227.0,20.0
볕바라기주간보호센터,서울특별시 금천구 금하로18길 8-1,126.9050371,37.4522511,10.0,37.0
데일리스보호작업시설,서울특별시 동대문구 천호대로83길 14,127.0647607,37.5628156,21.0,53.0
북서울장애인보호작업시설,서울특별시 강북구 한천로115길 20,127.0362166,37.6330865,32.0,17.0
소망의집,서울특별시 강북구 인수봉로64길 30,127.0145604,37.6396391,4.0,0.0
삼성떡프린스,서울특별시 동작구 양녕로30길 19-4,126.9459305,37.4991197,30.0,13.0
더홈,서울특별시 노원구 중계로 163-0,127.0806551,37.6498375,36.0,13.0
서울특별시립평화로운집,서울특별시 은평구 갈현로 15길 27-1,126.9055021,37.6074247,145.0,1.0
주몽재활원,서울특별시 강동구 상암로 369-0,127.1636346,37.5461957,42.0,0.0
소망제이앤피,서울특별시 강남구 언주로167길 35,127.0302672,37.5263754,30.0,51.0
다움장애아동지원센터,서울특별시 은평구 갈현로11길 30,126.9068159,37.6056774,43.0,5.0
보담터,서울특별시 노원구 중계로 163-0,127.0806551,37.6498375,20.0,13.0
시립서대문농아인복지관,서울특별시 서대문구 수색로4가길 23,126.9138435,37.5707241,329.0,22.0
승가원행복마을,서울특별시 성북구 개운사길 76-1,127.0296908,37.5899912,53.0,1.0
라온클린패밀리,서울특별시 강동구 고덕로 295-45,127.158743,37.5576717,26.0,4.0
용산구립장애인주간보호센터,서울특별시 용산구 한강대로 331,126.9714924,37.5479007,11.0,19.0
두레네집공동생활가정,서울특별시 관악구 법원단지길 97-3,126.9222396,37.4748079,4.0,3.0
중랑구립직업재활센터,서울특별시 중랑구 숙선옹주로9길 55,127.0836951,37.6173314,43.0,14.0
송파인성장애인복지관,서울특별시 송파구 마천로61길 26,127.1552472,37.4940144,0.0,14.0
사랑의복지관,서울특별시 서초구 강남대로 65길 19,127.023991,37.4998664,237.0,88.0
성북장애인복지관,서울특별시 성북구 화랑로 130,127.0456371,37.6045114,280.0,34.0
한빛맹아원,서울특별시 강북구 삼양로73가길 47,127.0156963,37.6280885,48.0,23.0
하누리주간보호센터,서울특별시 금천구 시흥대로2길57,126.9064263,37.4352308,15.0,14.0
헬렌켈러의집단기거주시설,서울특별시 강북구 삼양로91가길 8,127.0158309,37.6365179,10.0,28.0
헬렌켈러의집주간보호,서울특별시 강북구 삼양로80길 7,127.0182702,37.6309698,11.0,27.0
다니엘사랑이용센터,서울특별시 서초구 헌릉로468길 21-16,127.0920332,37.4604236,10.0,1.0
다니엘의집3호,서울특별시 서초구 신반포로43길 15,127.0175915,37.5108408,4.0,33.0
다솜장애인공동생활가정,서울특별시 서대문구 가재울로6길 16,126.9226544,37.5751792,4.0,0.0
아이티장애인공동생활가정,서울특별시 서대문구 연희로41길 61-061,126.9349338,37.5912308,4.0,0.0
다솜장애인주간보호센터,서울특별시 서대문구 증가로4길 53,126.9278661,37.5779043,15.0,34.0
신목장애인주간보호시설,서울특별시 양천구 신목로 5,126.8765544,37.5169375,20.0,5.0
디딤자리,서울특별시 강북구 덕릉로12길 13,127.016327,37.6333743,29.0,30.0
너울자리,서울특별시 강동구 동남로85길 15,127.155887,37.5612551,4.0,7.0
보금자리,서울특별시 강동구 동남로85길 15,127.155887,37.5612551,3.0,7.0
하늘자리공동생활가정,서울특별시 강동구 동남로85길 15,127.155887,37.5612551,4.0,7.0
주바라기해피홈,서울특별시 도봉구 도봉로169가길 45,127.0432135,37.6819403,20.0,13.0
동천하우스1,서울특별시 노원구 동일로237바길 8,127.0507112,37.6737424,4.0,0.0
동천하우스2,서울특별시 노원구 한글비석로24바길 98,127.0698954,37.6667196,4.0,7.0
해맑음보호작업시설,서울특별시 노원구 동일로 1097,127.0713157,37.6277729,30.0,35.0
강북구수어통역센터,서울특별시 강북구 도봉로 388,127.0296304,37.6413292,7115.0,80.0
그루터기공동생활가정,서울특별시 노원구 동일로191가길 26-0,127.0714704,37.6263103,4.0,41.0
관악구수어통역센터,서울특별시 관악구 쑥고개로 128,126.9506799,37.4786933,100.0,41.0
도봉구수어통역센터,서울특별시 도봉구 마들로13길 153,127.0461954,37.6571,0.0,4.0
동천하우스4,서울특별시 도봉구 도봉로137길 46,127.0400411,37.6609825,4.0,0.0
동천하우스3,서울특별시 도봉구 시루봉로23길 64,127.0414387,37.673291,4.0,17.0
서울특별시수어통역센터지원본부,서울특별시 서대문구 경기대로 15,126.9617095,37.5608278,243.0,21.0
인강원,서울특별시 도봉구 평화로15번길 9-25,127.0424217,37.6946661,22.0,6.0
가브리엘작업장,서울특별시 노원구 한글비석로24라길 94-13,127.0697615,37.6664415,20.0,7.0
가브리엘주간보호센터,서울특별시 노원구 한글비석로24라길 94-13,127.0697615,37.6664415,11.0,7.0
더해봄(종로구립장애인근로사업장),서울특별시 종로구 대학로3길 14,127.0014566,37.5741595,44.0,31.0
발달장애인단기거주시설 동천휴,서울특별시 노원구 노원로18길 41,127.0733277,37.6444026,10.0,11.0
동천발달장애인주간활동센터,서울특별시 노원구 노원로18길 41,127.0733277,37.6444026,19.0,11.0
섬김주간보호센터,서울특별시 노원구 덕릉로70가길 92,127.0567606,37.6423379,13.0,18.0
북부장애인직업재활시설,서울특별시 노원구 덕릉로70가길 92,127.0567606,37.6423379,40.0,18.0
대린직업훈련원,서울특별시 노원구 동일로248길 30,127.056858,37.6805716,32.0,13.0
위드주간보호센터,서울특별시 은평구 갈현로15길 11-13,126.9093658,37.606781,13.0,9.0
시온공동생활가정,서울특별시 은평구 갈현로15길 24-5,126.9080992,37.6082337,4.0,0.0
은평공동생활가정,서울특별시 은평구 증산로19길 28-8,126.9118447,37.5956496,4.0,0.0
꽃새암,서울특별시 관악구 봉천로13길 29-28,126.930424,37.4905133,3.0,30.0
꽃가람,서울특별시 관악구 국회단지21길 13,126.9414897,37.4901182,2.0,4.0
소망그룹홈,서울특별시 강동구 양재대로91나길 37,127.1319931,37.5269847,4.0,0.0
동안제일복지센터,서울특별시 송파구 거마로 79,127.147163,37.4999769,30.0,37.0
강동그룹홈,서울특별시 강동구 양재대로 1414-8,127.1385882,37.5320875,4.0,0.0
송파그룹홈,서울특별시 송파구 토성로5길 16-1,127.1140518,37.53188,4.0,0.0
동안우리복지센터,서울특별시 강동구 풍성로 146,127.1281397,37.5309622,33.0,9.0
해피죤,서울특별시 강동구 상암로 195,127.1441853,37.5466712,15.0,25.0
바오로교실주간보호센터,서울특별시 은평구 증산로5길 7,126.9071062,37.5826129,12.0,15.0
바오로교실보호작업장,서울특별시 은평구 증산로5길 7,126.9071062,37.5826129,29.0,15.0
열림일터,서울특별시 강서구 까치산로 136,126.8516154,37.5494727,43.0,15.0
아람마을,서울특별시 노원구 월계로 338-16,127.0581609,37.6287564,30.0,20.0
은평구립직업재활센터,서울특별시 은평구 녹번로1길 13,126.9265456,37.6047646,30.0,20.0
불광작은예수의집,서울특별시 은평구 연서로37길 21-5,126.9261454,37.6233594,10.0,8.0
성북구수어통역센터,서울특별시 성북구 아리랑로4길 22,127.0173155,37.5948465,6707.0,54.0
아이비주간보호시설,서울특별시 강동구 천중로 87,127.1317047,37.5448114,10.0,24.0
아이비장애인단기보호시설,서울특별시 강동구 구천면로39길 12,127.1318737,37.5457138,10.0,31.0
파란마음복지센터,서울특별시 강동구 진황도로 100,127.1372969,37.5355811,31.0,59.0
함께사는세상,서울특별시 관악구 국회단지길 67,126.9413355,37.4886661,25.0,6.0
한벗둥지,서울특별시 마포구 월드컵북로12길 98,126.9151283,37.5654188,10.0,14.0
사랑샘,서울특별시 노원구 중계로 163,127.0806551,37.6498375,10.0,13.0
하은장애인주간보호시설,서울특별시 양천구 신목로 20,126.875095,37.518164,11.0,10.0
기쁨이 싹트는 나무,서울특별시 금천구 시흥대로80길 19-11,126.9009649,37.4594456,4.0,0.0
신나는 집 장애인공동생활가정,서울특별시 구로구 고척로52라길 19-7,126.8548812,37.5021355,4.0,6.0
