시설명,X,Y
송파구방이복지관,209197.55557492404,544989.8028462583
서울시각장애인복지관,208317.74240979837,545187.4109392836
서울시립발달장애인복지관,192849.1314021715,543694.5259958252
청음복지관,203745.06404180807,545548.855806653
마포장애인종합복지관,191913.52006077048,551587.5962653728
다운복지관,207088.52492535577,557709.9623762729
원광장애인종합복지관,208478.48182106798,556073.310077563
성프란치스꼬장애인종합복지관,190316.88151611897,542464.1983665512
성모자애복지관,210568.9483171037,541186.0524238386
대린원,205015.56204986497,564547.0587318793
동천의집,206471.52777337804,560533.6658801083
삼성농아원,195218.82413478597,544407.7949282553
다니엘복지원,208142.37070066461,540115.6482698756
늘편한집,207117.6880689067,561137.4152863285
임마누엘집,212971.7148107412,543567.1777736834
임마누엘보호작업시설,212971.7148107412,543567.1777736834
아름해든집,214026.12202356063,550916.8098483314
신아재활원,212876.43737443085,543570.7701313504
우성원,214026.12202356063,550916.8098483314
영락애니아의집,198345.79987620626,549886.8819411768
사랑의집,193273.20290316927,556629.8571936077
암사재활원,211594.44430682505,550964.235874441
은평재활원,191771.78005402477,556237.133218867
오틸리아 공동생활가정,202637.8512387506,545882.4583244799
새빛바울의집,198964.75507461204,543191.8007492564
바르티매오공동생활가정,193949.13090853574,557440.5788426287
동천하우스5,207104.48715785478,554504.7213623512
교남소망의집,186965.35398690056,549855.9878650266
베데스다의 집,207455.0312791864,560819.0267741141
베데스다장애인주간보호센터,206853.84844557883,559648.3971514218
아름다운,208291.65397685827,555487.7868198894
신망애의집,202154.2302436759,542177.452007397
강북구립장애인보호작업장,203486.495136431,558866.8040982429
용산구립장애인보호작업장,197480.81393718155,549820.8837825363
다니엘의집1호,204559.39075056772,540324.9796278245
다니엘의집2호,204559.39075056772,540324.9796278245
다니엘주간보호센터,208142.37070066461,540115.6482698756
다니엘단기보호센터,208142.37070066461,540115.6482698756
사랑나눔주간보호시설,213492.53299489166,544171.5435398438
다니엘직업재활원,208142.37070066461,540115.6482698756
동천,206471.52777337804,560533.6658801083
노원교육복지재단(다모인),206147.63106415627,560428.1118876362
영등포구 장애인사랑나눔의 집,191864.40638767995,544235.8262452515
원광보호작업장,208478.48182106798,556073.310077563
참좋은센터,208676.38584951844,556089.8524174852
신아보호작업장,212876.43737443085,543570.7701313504
늘푸른나무복지관,186849.55029055418,552123.89872389
조은세상,207130.81295564317,556119.73352559
서울시립북부장애인종합복지관,205009.5387691672,560303.4915635223
서울시립남부장애인종합복지관,193150.81820892176,543923.2829313437
금천장애인종합복지관,190828.41536570492,540510.6306337563
볕바라기주간보호센터,191597.51825591587,539208.870360285
데일리스보호작업시설,205721.693457808,551477.8492488725
북서울장애인보호작업시설,203196.77653773697,559275.7835445942
소망의집,201285.10840472888,560002.5368468793
삼성떡프린스,195218.82413478597,544407.7949282553
더홈,207117.6880689067,561137.4152863285
서울특별시립평화로운집,191655.9657704287,556431.1803899157
주몽재활원,214460.54855805004,549643.8512172834
소망제이앤피,202675.44896428753,547431.8879778156
다움장애아동지원센터,191771.78005402477,556237.133218867
보담터,207117.6880689067,561137.4152863285
시립서대문농아인복지관,192388.7637203788,552357.1181669687
승가원행복마을,202622.26817539698,554492.4708556177
라온클린패밀리,214026.12202356063,550916.8098483314
용산구립장애인주간보호센터,197480.81393718155,549820.8837825363
두레네집공동생활가정,193121.69216547735,541710.9727206144
중랑구립직업재활센터,207389.1814411387,557529.811769767
송파인성장애인복지관,213728.90272542206,543851.1210969863
사랑의복지관,202121.4186263186,544489.5659935212
성북장애인복지관,204029.8497856712,556104.6163144886
한빛맹아원,201385.57797528277,558720.5569916725
하누리주간보호센터,191718.5614290371,537319.732085277
헬렌켈러의집단기거주시설,201397.30184130045,559656.1341434178
헬렌켈러의집주간보호,201612.72462228918,559040.3920968818
다니엘사랑이용센터,208142.37070066461,540115.6482698756
다니엘의집3호,201555.31129386963,545707.458246118
다솜장애인공동생활가정,193167.54327003937,552850.9055760095
아이티장애인공동생활가정,194253.4992908453,554631.6285034001
다솜장애인주간보호센터,193628.1600362883,553152.9941248774
신목장애인주간보호시설,189086.731862442,546391.1287854445
디딤자리,201441.15042629646,559307.2347994281
너울자리,213773.11344597786,551314.1028483503
보금자리,213773.11344597786,551314.1028483503
하늘자리공동생활가정,213773.11344597786,551314.1028483503
주바라기해피홈,203811.8823153559,564698.3288835813
동천하우스1,204473.75008263538,563788.772050637
동천하우스2,206166.76451729733,563010.3982545328
해맑음보호작업시설,206295.36179053294,558687.8048402457
강북구수어통역센터,202615.1351471003,560190.4337627249
그루터기공동생활가정,206309.14149238027,558525.4820546833
관악구수어통역센터,195637.60922641773,542140.5027025338
도봉구수어통역센터,204076.2754937084,561941.4234393394
동천하우스4,203533.03692758764,562372.0925997966
동천하우스3,203655.75077142747,563738.2689862805
서울특별시수어통역센터지원본부,196616.89394446605,551255.944742205
인강원,203741.3979285346,566110.7410844362
가브리엘작업장,206154.97368808015,562979.5230824049
가브리엘주간보호센터,206154.97368808015,562979.5230824049
더해봄(종로구립장애인근로사업장),200128.6730129793,552734.9194406401
발달장애인단기거주시설 동천휴,206471.52777337804,560533.6658801083
동천발달장애인주간활동센터,206471.52777337804,560533.6658801083
섬김주간보호센터,205009.5387691672,560303.4915635223
북부장애인직업재활시설,205009.5387691672,560303.4915635223
대린직업훈련원,205015.56204986497,564547.0587318793
위드주간보호센터,191997.05625991913,556359.4003607753
시온공동생활가정,191885.37405901228,556520.7429410764
은평공동생활가정,192214.7817926014,555123.7292468863
꽃새암,193846.93264327664,543453.4974103625
꽃가람,194825.5187644294,543408.980742691
소망그룹홈,211667.34972465827,547507.2684808305
동안제일복지센터,213012.96138671035,544511.733166304
강동그룹홈,212249.4803667406,548074.4549008744
송파그룹홈,210080.79360908462,548048.5121144752
동안우리복지센터,211326.13212383474,547948.2508767567
해피죤,212741.71308313435,549693.8124145465
바오로교실주간보호센터,191794.881750662,553677.2055223793
바오로교실보호작업장,191794.881750662,553677.2055223793
열림일터,186887.68361515738,550005.3227967832
아람마을,205134.05988895576,558796.1619227958
은평구립직업재활센터,193513.84711940718,556134.2764657746
불광작은예수의집,193480.13242410313,558198.1263499672
성북구수어통역센터,201529.19202161982,555031.0811822765
아이비주간보호시설,211639.0860492959,549485.7787707531
아이비장애인단기보호시설,211653.88054763072,549585.9552451582
파란마음복지센터,212134.7793155986,548462.0343276194
함께사는세상,194811.78133244888,543247.8252215504
한벗둥지,192501.7337271512,551768.1883779308
사랑샘,207117.6880689067,561137.4152863285
하은장애인주간보호시설,188957.89357024818,546527.4251628486
기쁨이 싹트는 나무,191238.04221797019,540007.7318674464
신나는 집 장애인공동생활가정,187168.16752204645,544751.0293563015
제4샬롬장애인공동생활가정,200626.90305691367,550573.2794397966
예은장애인주간보호시설,185245.54712533797,543844.3851385817
예은장애인공동생활가정,187801.41074381076,547199.1295669543
다은장애인공동생활가정,188221.3110515802,548213.408437101
강동단기보호시설,211446.85711211004,549017.7522691624
성민장애인주간보호소,206146.2604357113,561750.9666110391
라온채,186141.05231806808,544475.11903759
해피워크,203220.07357168317,556109.8561213146
아이티어빌리티센터,212109.43890959947,550560.6289142083
기원주간보호센터,192833.93880614798,558256.1969821338
한마음 주간보호센터,192260.15943591978,557160.2265492529
하늘꿈터,206214.74454193722,553404.7192529651
용산구수어통역센터,199211.1069813451,546777.9784754061
시립영등포장애인복지관,192297.39765798755,546815.7921975856
다운주간보호센터,207088.52492535577,557709.9623762729
모랫말꿈터,190899.63677452583,545612.7678735564
강동그린나래복지센터,212065.94645342923,550543.0516546976
성프란치스꼬민들레의집,191859.17485550343,545531.818312122
햇살터(성프란치스꼬),190316.88151611897,542464.1983665512
한마음2호공동생활가정,210386.05908874798,545741.2210591612
SG누리센터,191392.71187674737,538988.5051638439
노원1장애인주간보호센터,205341.3040726671,558939.5582523673
다사랑공동생활가정,201791.31362674356,559817.7665014773
다향공동생활가정,188083.4087597949,550763.1146892689
나자로의집보호작업장,194214.39957792443,542542.2982359731
북부(종합사회복지관)장애인주간보호센터,204622.63745443532,564439.113465304
실로암장애인근로사업장,194795.1346672426,542621.3149627262
중계1호,206147.63106415627,560428.1118876362
중계2호그룹홈,206147.63106415627,560428.1118876362
상계(종합사회복지관)장애인주간보호센터,206920.73181632295,563145.7812681881
평화장애인주간활동센터,206090.32415177298,560767.0880322917
영등포구주간보호센터,191864.40638767995,544235.8262452515
임마누엘신사공동체,192152.02993597914,555528.2878254501
임마누엘역촌공동체,192703.15108923658,555756.5773886144
서울남부주간보호센터,192849.1314021715,543694.5259958252
남부장애인공동생활가정1호,192376.73198743406,545681.1054088457
남부장애인공동생활가정2호,191746.34933890926,546004.5804112907
한빛장애인주간보호센터,185875.92519531256,546631.9326203506
관음의 집,191825.38797538003,539220.3861589793
지장의 집,191825.38797538003,539220.3861589793
노원시각장애인주간보호센터,205975.4812035093,562233.8703882372
원광장애인주간보호시설,208478.48182106798,556073.310077563
보라매주간보호센터,192849.1314021715,543694.5259958252
정겨우리주간보호센터,191771.78005402477,556237.133218867
정립회관주간보호센터,208627.92921028627,550146.9806368324
강서구수어통역센터,184218.3428940634,550471.2775947963
구로구수어통역센터,190327.7384735887,544043.8973927906
삼전주간보호시설,208395.8912249694,544411.5332453578
브니엘의 집,189995.4848820479,544086.1433709722
이수경하우스,207168.24456031696,563247.1486258124
송파시각장애인축구장,210388.61133711433,547258.1362848975
송파구장애인운전교육원,208890.85873205322,544138.7413795459
임마누엘시흥공동체,192209.30714769938,540211.2043897163
임마누엘독산공동체,191261.0153119582,540974.6112156941
임마누엘신월공동체,186264.65451017825,547147.1752563845
임마누엘신정공동체,187107.13001410232,547158.9117946194
임마누엘개봉공동체,186278.3365852614,544455.2356858084
임마누엘구로공동체,184967.0077643156,544582.5728499809
임마누엘화곡1공동체,187552.86748178364,548458.6338321533
임마누엘화곡공동체,187083.5680154211,547918.7605078506
임마누엘등촌1공동체,187768.4783076929,550666.8239119631
기쁜우리복지관부설주간보호시설,186651.52069523,552197.9334790496
충현복지관,203253.4935784472,544903.9467065514
해마을주간보호센터,206871.76483377785,543840.5163157817
중랑구수어통역센터,207656.12690371685,553300.8509202567
성모자애 엠마우스공동생활가정 1,210568.9483171037,541186.0524238386
성모자애엠마우스공동생활가정3호,210568.9483171037,541186.0524238386
성모자애공동생활가정,210568.9483171037,541186.0524238386
성모자애주간보호시설,210568.9483171037,541186.0524238386
성모자애제2주간보호센터,210568.9483171037,541186.0524238386
성모자애보호작업장,210568.9483171037,541186.0524238386
